"id","instrial","latency_bin","key","binmedian","npress","nreward"
"17",4,"[2800,3200)","1",2950.17530734185,2,0
"17",4,"[3200,3600)","1",3391.67662686668,3,0
"17",4,"[3600,4000)","1",3833.20939878467,2,0
"17",4,"[4000,4400)","2",4174.75011677016,2,0
"17",4,"[4400,4800)","2",4607.88104939274,3,0
"17",4,"[4800,5200)","2",5007.79182300903,2,0
"17",4,"[5200,5600)","1",5591.23993106186,1,0
"17",4,"[5200,5600)","2",5365.98541261628,2,0
"17",4,"[5600,6000]","1",5866.03192950133,2,1
"17",5,"[   0, 400)","1",255.942074116319,1,0
"17",5,"[ 400, 800)","1",589.138229377568,3,2
"17",5,"[ 800,1200)","1",1022.30227005202,2,0
"17",5,"[1200,1600)","1",1363.82825498004,2,0
"17",5,"[1600,2000)","1",1622.17910797335,1,0
"17",5,"[2000,2400)","1",2188.53168934584,3,0
"17",5,"[2400,2800)","1",2630.05916413386,2,1
"17",5,"[2800,3200)","1",2963.34404929075,2,1
"17",5,"[3200,3600)","1",3404.8344430048,3,1
"17",5,"[3600,4000)","1",3838.02679099608,2,1
"17",5,"[4000,4400)","1",4196.20995153673,2,1
"17",5,"[4400,4800)","1",4571.35372341145,2,1
"17",5,"[4800,5200)","1",4987.63131489977,2,1
"17",5,"[5200,5600)","1",5387.48994329944,2,0
"17",5,"[5600,6000]","1",5778.96808704827,2,0
"17",6,"[   0, 400)","1",346.094735665247,1,0
"17",6,"[ 400, 800)","1",512.63835048303,1,0
"17",6,"[ 800,1200)","1",978.96874928847,3,0
"17",6,"[1200,1600)","1",1428.87372919358,2,1
"17",6,"[1600,2000)","1",1778.97073584609,2,1
"17",6,"[2000,2400)","1",2178.67607390508,3,0
"17",6,"[2400,2800)","1",2586.8747952627,2,0
"17",6,"[2800,3200)","1",3011.7119862698,3,1
"17",6,"[3200,3600)","1",3445.01177000347,2,1
"17",6,"[3600,4000)","1",3778.36419560481,2,1
"17",6,"[4000,4400)","1",4211.28124999814,3,0
"17",6,"[4400,4800)","1",4636.09907275531,2,0
"17",6,"[4800,5200)","1",4994.38668938819,2,0
"17",6,"[5200,5600)","1",5260.91490895487,1,0
"17",6,"[5200,5600)","2",5452.6974814944,2,1
"17",6,"[5600,6000]","2",5844.42509477958,3,0
"17",7,"[ 400, 800)","2",719.064299250022,1,0
"17",7,"[ 800,1200)","2",1002.81087681651,3,1
"17",7,"[1200,1600)","2",1378.00083437469,2,0
"17",7,"[1600,2000)","2",1785.59102909639,3,0
"17",7,"[2000,2400)","2",2185.55841769558,2,1
"17",7,"[2400,2800)","2",2535.54136690218,2,1
"17",7,"[2800,3200)","2",3001.91033678129,3,1
"17",7,"[3200,3600)","2",3434.91496192291,2,0
"17",7,"[3600,4000)","2",3784.95353285689,2,1
"17",7,"[4000,4400)","2",4126.50501099415,2,0
"17",7,"[4400,4800)","2",4567.79675604776,3,0
"17",7,"[4800,5200)","2",5009.29046061355,2,1
"17",7,"[5200,5600)","2",5350.83217185456,2,0
"17",7,"[5600,6000]","2",5784.2097596731,3,0
"17",8,"[ 400, 800)","1",590.866140788421,3,0
"17",8,"[ 800,1200)","1",1015.82185865845,2,1
"17",8,"[1200,1600)","1",1349.0589025896,2,1
"17",8,"[1600,2000)","1",1790.82144470885,3,0
"17",8,"[2000,2400)","1",2240.25529646314,2,0
"17",8,"[2400,2800)","2",2590.11938783806,2,0
"17",8,"[2800,3200)","2",3006.64909742773,3,1
"17",8,"[3200,3600)","2",3398.17723433953,2,0
"17",8,"[3600,4000)","1",3989.97387778945,1,0
"17",8,"[3600,4000)","2",3723.21555693633,2,0
"17",8,"[4000,4400)","1",4248.14892676659,2,0
"17",8,"[4400,4800)","1",4581.28598448821,2,2
"17",8,"[4800,5200)","1",5005.97468554042,3,0
"17",8,"[5200,5600)","1",5439.331084257,2,1
"17",8,"[5600,6000]","1",5672.38487489522,1,0
"17",8,"[5600,6000]","2",5905.90217884164,2,0
"17",9,"[   0, 400)","1",346.084140939638,1,0
"17",9,"[ 400, 800)","1",596.250343485736,2,0
"17",9,"[ 800,1200)","1",1012.51055323519,3,1
"17",9,"[1200,1600)","1",1445.65439783037,2,0
"17",9,"[1600,2000)","1",1804.12112921477,2,1
"17",9,"[2000,2400)","1",2153.97412935272,2,0
