"id","instrial","latency_bin","binmedian_1","binmedian_2","npress_1","npress_2","nreward_1","nreward_2"
"069",1,"[2800,3200)",NA,2901.09439147182,0,2,0,0
"069",1,"[3200,3600)",NA,3425.2989670249,0,2,0,0
"069",1,"[3600,4000)",NA,3900.16024367651,0,1,0,0
"069",1,"[4000,4400)",NA,4208.38845848266,0,2,0,1
"069",1,"[4400,4800)",NA,4608.56641504506,0,2,0,0
"069",1,"[4800,5200)",NA,5033.39756323658,0,3,0,0
"069",1,"[5200,5600)",NA,5408.34773539973,0,2,0,1
"069",1,"[5600,6000]",NA,5799.86326314429,0,3,0,1
"069",2,"[ 400, 800)",NA,536.258939213439,0,2,0,0
"069",2,"[ 800,1200)",NA,994.736458746047,0,3,0,1
"069",2,"[1200,1600)",NA,1345.37081181224,0,1,0,0
"069",2,"[1600,2000)",NA,1703.08022116205,0,2,0,1
"069",2,"[2000,2400)",NA,2227.64120646207,0,2,0,1
"069",2,"[2400,2800)",NA,2628.04760958806,0,2,0,1
"069",2,"[2800,3200)",NA,3051.9964243149,0,2,0,0
"069",2,"[3200,3600)",NA,3360.64362336128,0,2,0,0
"069",2,"[3600,4000)",NA,3626.65276122425,0,1,0,0
"069",2,"[4000,4400)",4194.1962985029,NA,2,0,1,0
"069",2,"[4400,4800)",4660.15031121606,NA,1,0,1,0
"069",2,"[4800,5200)",4952.402165276,NA,2,0,0,0
"069",2,"[5200,5600)",5419.29876837458,NA,2,0,1,0
"069",2,"[5600,6000]",5851.24370944231,NA,2,0,1,0
"069",3,"[ 400, 800)",626.636538207094,NA,3,0,0,0
"069",3,"[ 800,1200)",958.994172957318,NA,1,0,0,0
"069",3,"[1200,1600)",1400.37544696134,NA,2,0,0,0
"069",3,"[1600,2000)",1708.72665872139,NA,2,0,0,0
"069",3,"[2000,2400)",NA,2308.6021718982,0,2,0,0
"069",3,"[2400,2800)",NA,2624.99801350895,0,2,0,0
"069",3,"[2800,3200)",NA,3174.72586412441,0,1,0,1
"069",3,"[3200,3600)",NA,3524.67918156617,0,1,0,0
"069",3,"[3600,4000)",NA,3791.25463514811,0,2,0,1
"069",3,"[4000,4400)",NA,4224.47357965938,0,2,0,0
"069",3,"[4400,4800)",NA,4724.29711296536,0,1,0,0
"069",3,"[4800,5200)",NA,4999.1302476501,0,2,0,0
"069",3,"[5200,5600)",NA,5423.97861210521,0,2,0,0
"069",3,"[5600,6000]",NA,5928.5970401279,0,2,0,1
"069",4,"[   0, 400)",NA,346.727254667712,0,1,0,0
"069",4,"[ 400, 800)",NA,621.815488014362,0,2,0,1
"069",4,"[ 800,1200)",NA,1063.1760693941,0,3,0,1
"069",4,"[1200,1600)",NA,1421.4039531189,0,2,0,0
"069",4,"[1600,2000)",NA,1721.36985167526,0,2,0,0
"069",4,"[2000,2400)",NA,2229.48417428233,0,3,0,1
"069",4,"[2400,2800)",NA,2646.23079724606,0,2,0,0
"069",4,"[2800,3200)",NA,2954.20805191406,0,2,0,0
"069",4,"[3200,3600)",NA,3279.09035227185,0,2,0,1
"069",4,"[3600,4000)",NA,3762.26327638778,0,2,0,1
"069",4,"[4000,4400)",NA,4112.13713415419,0,2,0,1
"069",4,"[4400,4800)",NA,4545.34250430424,0,2,0,0
"069",4,"[4800,5200)",NA,4945.15428420164,0,3,0,0
"069",4,"[5200,5600)",NA,5403.57568534001,0,2,0,0
"069",4,"[5600,6000]",NA,5794.87187127597,0,1,0,0
"069",4,NA,NA,NA,0,1,0,0
"069",5,"[ 400, 800)",NA,529.86458747182,0,2,0,1
"069",5,"[ 800,1200)",NA,971.815653554586,0,3,0,0
"069",5,"[1200,1600)",NA,1479.71377963131,0,2,0,1
"069",5,"[1600,2000)",NA,1887.6532909544,0,1,0,0
"069",5,"[2000,2400)",NA,2304.13024764857,0,1,0,0
"069",5,"[2400,2800)",NA,2570.80949542978,0,2,0,1
"069",5,"[2800,3200)",NA,3004.4093497545,0,3,0,0
"069",5,"[3200,3600)",NA,3395.61912329464,0,2,0,0
"069",5,"[3600,4000)",NA,3770.72308303468,0,3,0,0
"069",5,"[4000,4400)",NA,4178.46560058206,0,2,0,0
"069",5,"[4400,4800)",4736.60111243407,4486.7126870613,1,1,0,0
"069",5,"[4800,5200)",5128.29906634852,NA,2,0,0,0
"069",5,"[5200,5600)",5419.80582042015,NA,2,0,0,0
"069",5,"[5600,6000]",5819.53648523267,NA,3,0,0,0
"069",6,"[ 400, 800)",NA,598.497549994136,0,3,0,0
"069",6,"[ 800,1200)",NA,915.06323665817,0,1,0,0
"069",6,"[1200,1600)",NA,1423.24278241358,0,2,0,1
"069",6,"[1600,2000)",NA,1839.78032711002,0,2,0,0
"069",6,"[2000,2400)",NA,2164.69474241785,0,1,0,0
"069",6,"[2400,2800)",NA,2539.53185008595,0,2,0,0
"069",6,"[2800,3200)",NA,2981.06575288057,0,2,0,1
"069",6,"[3200,3600)",NA,3430.98232022385,0,3,0,0
"069",6,"[3600,4000)",NA,3805.81578598867,0,2,0,0
"069",6,"[4000,4400)",4214.26466693265,4064.0163554508,1,1,0,1
"069",6,"[4400,4800)",4563.78228049289,NA,3,0,0,0
"069",6,"[4800,5200)",4880.35458879676,NA,1,0,0,0
"069",6,"[5200,5600)",5355.46914316001,NA,2,0,1,0
"069",6,"[5600,6000]",5863.69917891716,NA,3,0,1,0
"069",7,"[   0, 400)",314.236193882607,NA,1,0,1,0
"069",7,"[ 400, 800)",648.82995629705,NA,1,0,0,0
"069",7,"[ 800,1200)",980.926036287201,NA,3,0,0,0
"069",7,"[1200,1600)",1397.27271222364,NA,2,0,0,0
"069",7,"[1600,2000)",1813.94053767781,NA,2,0,2,0
"069",7,"[2000,2400)",2172.65544298789,NA,2,0,0,0
"069",7,"[2400,2800)",2763.43034035199,NA,1,0,1,0
"069",7,"[2800,3200)",3021.69000794584,NA,2,0,0,0
"069",7,"[3200,3600)",3396.52463249968,NA,2,0,0,0
"069",7,"[3600,4000)",3763.20354919881,NA,2,0,2,0
"069",7,"[4000,4400)",4179.74788107585,NA,2,0,0,0
"069",7,"[4400,4800)",4587.8511124356,NA,2,0,0,0
"069",7,"[4800,5200)",4937.62382465866,NA,2,0,0,0
"069",7,"[5200,5600)",5412.72530128481,NA,2,0,0,0
"069",7,"[5600,6000]",NA,5945.54363660427,0,1,0,0
"069",7,NA,NA,NA,1,0,0,0
"069",8,"[   0, 400)",362.136803072644,NA,1,0,0,0
"069",8,"[ 400, 800)",620.080121838327,NA,2,0,0,0
"069",8,"[ 800,1200)",1028.35485366268,NA,3,0,1,0
"069",8,"[1200,1600)",1386.63157197698,NA,2,0,0,0
"069",8,"[1600,2000)",1778.13650509871,NA,2,0,0,0
"069",8,"[2000,2400)",2111.48755131853,NA,2,0,0,0
"069",8,"[2400,2800)",NA,2636.28310819877,0,2,0,0
"069",8,"[2800,3200)",NA,3027.70659515409,0,3,0,1
"069",8,"[3200,3600)",NA,3461.27102370519,0,3,0,0
"069",8,"[3600,4000)",NA,3811.23030062281,0,2,0,0
"069",8,"[4000,4400)",NA,4210.68500860929,0,3,0,1
"069",8,"[4400,4800)",NA,4643.78327373925,0,3,0,0
"069",8,"[4800,5200)",NA,4993.61657396457,0,2,0,0
"069",8,"[5200,5600)",NA,5418.41362071227,0,2,0,0
"069",8,"[5600,6000]",NA,5888.28201562774,0,2,0,0
"069",9,"[ 400, 800)",494.440471460621,NA,1,0,0,0
"069",9,"[ 800,1200)",969.591941465295,NA,2,0,0,0
"069",9,"[1200,1600)",1444.34031916444,NA,2,0,0,0
"069",9,"[1600,2000)",1760.96510396019,NA,1,0,0,0
"069",9,"[2000,2400)",2119.08952456725,NA,2,0,0,0
"069",9,"[2400,2800)",2643.68974308127,NA,2,0,0,0
"069",9,"[2800,3200)",2976.90239703479,NA,1,0,0,0
